draw_date,numbers
2026-02-11,"22,29,18,1,13,30"
2026-02-07,"14,6,1,33,38,23"
2026-02-04,"9,8,26,37,11,0"
2026-01-31,"24,28,29,9,5,30"
2026-01-28,"10,13,12,24,2,3"
2026-01-24,"0,3,17,9,31,38"
2026-01-21,"27,39,17,33,14,13"
2026-01-17,"29,23,11,21,19,4"
2026-01-14,"30,31,29,19,38,6"
2026-01-10,"20,24,12,37,17,38"
2026-01-07,"32,17,2,10,36,20"
2026-01-03,"37,25,6,12,36,35"
2025-12-31,"34,17,15,7,3,13"
2025-12-27,"35,13,15,20,39,17"
2025-12-24,"5,19,30,7,26,31"
2025-12-20,"33,24,27,31,28,6"
2025-12-17,"2,7,38,6,5,0"
2025-12-13,"18,24,29,7,23,1"
2025-12-10,"21,16,32,8,34,12"
2025-12-06,"33,31,28,12,6,21"
2025-12-03,"13,4,20,14,8,39"
2025-11-29,"17,33,10,5,3,20"
2025-11-26,"7,3,1,33,30,21"
2025-11-22,"6,3,37,33,4,7"
2025-11-19,"10,37,23,2,11,30"
2025-11-15,"2,6,28,15,30,1"
2025-11-12,"16,30,17,1,21,14"
2025-11-08,"25,20,21,33,12,22"
2025-11-05,"23,29,26,2,13,7"
2025-11-01,"22,23,31,33,10,26"
2025-10-29,"30,33,39,28,14,20"
2025-10-25,"35,15,5,21,30,0"
2025-10-22,"16,8,17,21,35,25"
2025-10-18,"39,21,11,37,29,16"
2025-10-15,"2,25,7,1,3,9"
2025-10-11,"9,8,14,11,10,16"
2025-10-08,"36,32,16,35,23,7"
2025-10-04,"16,18,33,12,36,14"
2025-10-01,"24,11,20,12,7,36"
2025-09-27,"30,10,23,1,28,34"
2025-09-24,"27,33,1,11,20,25"
2025-07-05,"21,20,4,5,3,30"
2025-07-02,"38,1,20,25,2,0"
2025-06-28,"7,25,9,27,18,23"
2025-06-25,"12,38,0,6,31,11"
2025-06-21,"22,27,21,36,35,26"
2025-06-18,"6,36,2,10,39,25"
2025-06-14,"3,26,39,20,34,22"
2025-06-11,"8,10,3,15,4,2"
2025-06-07,"23,11,17,28,15,33"
2025-06-04,"39,31,0,29,14,25"
2025-05-31,"1,8,6,3,35,11"
2025-05-28,"17,7,13,16,15,20"
2025-05-24,"27,21,23,37,14,15"
2025-05-21,"38,24,27,21,35,13"
2025-05-17,"17,28,19,2,23,37"
2025-05-14,"28,4,26,27,6,38"
2025-05-10,"18,37,21,5,26,0"
2025-05-07,"4,32,34,6,37,5"
2025-05-03,"13,28,20,17,12,38"
2025-04-30,"20,5,0,10,36,35"
